Title,Authors,Year of Publication,DOI
Cyber-Physical Systems and Digital Twins in the Industrial Internet of Things [Cyber-Physical Systems],"Koulamas, Kalogeras",2018,10.1109/MC.2018.2876181
Digital Twin-based Anomaly Detection in Cyber-physical Systems,"Xu, Ali, Yue",2021,10.1109/ICST49551.2021.00031
Building Digital Twins of Cyber Physical Systems With Metaverse for Industry 5.0 and Beyond,"Jagatheesaperumal, Rahouti",2022,10.1109/MITP.2022.3225064
A Taxonomy of Security and Defense Mechanisms in Digital Twins-based Cyber-Physical Systems,"Hussaini, Qian, Liao, Yu",2022,10.1109/iThings-GreenCom-CPSCom-SmartData-Cybermatics55523.2022.00112
A Literature Review on Blockchain-enabled Security and Operation of Cyber-Physical Systems,"Khalil, Franco, Parvez, Uluagac, Shahriar, Rahman",2022,10.1109/COMPSAC54236.2022.00282
Towards Cybersecurity of the Smart Grid Using Digital Twins,"Olivares-Rojas, Reyes-Archundia, Gutiérrez-Gnecchi, Molina-Moreno, Cerda-Jacobo, Méndez-Patiño",2022,10.1109/MIC.2021.3063674
Designing Secure and Resilient Cyber-Physical Systems: A Model-Based Moving Target Defense Approach,"Casola, Benedictis, Mazzocca, Montanari",2024,10.1109/TETC.2022.3197464
On the Effectiveness of Recurrent Neural Networks for Live Modeling of Cyber-Physical Systems,"Yoginath, Tansakul, Chinthavali, Taylor, Hambrick, Irminger, Perumalla",2019,10.1109/ICII.2019.00062
"Security-Enhancing Digital Twins: Characteristics, Indicators, and Future Perspectives","Eckhart, Ekelhart, Allison, Almgren, Ceesay-Seitz, Janicke, Nadjm-Tehrani, Rashid, Yampolskiy",2023,10.1109/MSEC.2023.3271225
Special Issue on Digital Twins - Part 1,"Saracco, Henz",2022,10.1109/MIC.2021.3088318
A Digital Twin Runtime Verification Framework for Protecting Satellites Systems from Cyber Attacks,"Hóu, Li, Foo, Dong, Souza",2022,10.1109/ICECCS54210.2022.00022
Introduction to Digital Twin Engineering,"Feng, Gomes, Thule, Lausdahl, Iosifidis, Larsen",2021,10.23919/ANNSIM52504.2021.9552135
A Digital Twin Prototype for Product Lifecycle Data Management,"Schranz, Strohmeier, Damjanovic-Behrendt",2020,10.1109/AICCSA50499.2020.9316506
A Service-Oriented Digital Twins Framework for Smart Grid Management,Atalay,2022,10.1109/SRMC57347.2022.00006
Digital Twins and the Future of Their Use Enabling Shift Left and Shift Right Cybersecurity Operations,"Mohsin, Janicke, Nepal, Holmes",2023,10.1109/TPS-ISA58951.2023.00042
Using Cyber Digital Twins for Automated Automotive Cybersecurity Testing,"Marksteiner, Bronfman, Wolf, Lazebnik",2021,10.1109/EuroSPW54576.2021.00020
Graph Learning for Cognitive Digital Twins in Manufacturing Systems,"Mortlock, Muthirayan, Yu, Khargonekar, Faruque",2022,10.1109/TETC.2021.3132251
Privacy and Security Issues for Human Digital Twins,"Sirigu, Carminati, Ferrari",2022,10.1109/TPS-ISA56441.2022.00011
A Digital Twin for the 5G Era: the SPIDER Cyber Range,"Rebecchi, Pastor, Mozo, Lombardo, Bruschi, Aliferis, Doriguzzi-Corin, Gouvas, Romero, Angelogianni, Politis, Xenakis",2022,10.1109/WoWMoM54355.2022.00088
Digital Twins for Industrial Control Systems Security,"Francia, Hall",2021,10.1109/CSCI54926.2021.00029
Edge Centric Secure Data Sharing with Digital Twins in Smart Ecosystems,"Cathey, Benson, Gupta, Sandhu",2021,10.1109/TPSISA52974.2021.00008
LiDiTE: A Full-Fledged and Featherweight Digital Twin Framework,"Russo, Costa, Longo, Armando, Merlo",2023,10.1109/TDSC.2023.3236798
Cyber-Physical Cloud Manufacturing Systems With Digital Twins,"Nguyen, Zeadally, Vuduthala",2022,10.1109/MIC.2021.3058921
Process Prediction with Digital Twins,"Brockhoff, Heithoff, Koren, Michael, Pfeiffer, Rumpe, Uysal, Aalst, Wortmann",2021,10.1109/MODELS-C53483.2021.00032
Digital Twin-based Intrusion Detection for Industrial Control Systems,"Varghese, Ghadim, Balador, Alimadadi, Papadimitratos",2022,10.1109/PerComWorkshops53856.2022.9767492
Harnessing Digital Twin Security Simulations for systematic Cyber Threat Intelligence,"Dietz, Schlette, Pernul",2022,10.1109/COMPSAC54236.2022.00129
Trusting Digital Twins,Laplante,2022,10.1109/MC.2022.3149448
Digital Twin in Safety-Critical Robotics Applications: Opportunities and Challenges,"Baidya, Das, Uddin, Kosek, Summers",2022,10.1109/IPCCC55026.2022.9894313
Co-simulated Digital Twin on the Network Edge: the case of platooning,"Palmieri, Quadri, Fagiolini, Rossi, Bernardeschi",2022,10.1109/WoWMoM54355.2022.00096
Empowering Citizens With Digital Twins: A Blueprint,"Kopponen, Hahto, Kettunen, Mikkonen, Makitalo, Nurmi, Rossi",2022,10.1109/MIC.2022.3159683
Digital Twin in the Military Field,"Mendi, Erol, Doğan",2022,10.1109/MIC.2021.3055153
IoTwins: Design and Implementation of a Platform for the Management of Digital Twins in Industrial Scenarios,"Borghesi, Modica, Bellavista, Gowtham, Willner, Nehls, Kintzler, Cejka, Tisbeni, Costantini, Galletti, Antonacci, Ahouangonou",2021,10.1109/CCGrid51090.2021.00075
Keynote Speaker: The Metaverse: AI-Powered Universe of Persistent Digital Twins,Saddik,2023,10.1109/MIPR59079.2023.00013
IoT Platform Based on Digital Twin Modeling and Multi-Source Information Fusion,Gu,2022,10.1109/ICCSIE56462.2022.00021
MTComm Based Virtualization and Integration of Physical Machine Operations with Digital-Twins in Cyber-Physical Manufacturing Cloud,"Shahriar, Sunny, Liu, Leu, Hu, Nguyen",2018,10.1109/CSCloud/EdgeCom.2018.00018
The Convergence of Digital Twin Technology and Personal Healthcare,Song,2023,10.1109/SNPD-Winter57765.2023.10223866
Attributes Based Bayesian Unknown Hazards Assessment for Digital Twin Empowered Autonomous Driving,"Hou, Liu, Zhang",2021,10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00137
Holistic Technologies for Managing Internet of Things Services,"Ranjan, Hsu, Chen, Georgakopoulos",2020,10.1109/TSC.2020.3000844
OpenDT: A Reference Framework for Service Publication and Discovery using Remote Programmable Digital Twins,"Shahriar, Liu, Rahman, Sunny",2020,10.1109/SCC49832.2020.00024
A Smart-Farming Ontology for Attribute Based Access Control,"Chukkapalli, Piplai, Mittal, Gupta, Joshi",2020,10.1109/BigDataSecurity-HPSC-IDS49724.2020.00017
Skilled Agricultural Task Delivery by a Digital Twin,"Kaburlasos, Lytridis, Siavalas, Tsakalidou, Tsakmakis, Kalathas, Pachidis, Rantos, Kalaboukas",2023,10.1109/CAI54212.2023.00159
Secure Asset Tracking in Manufacturing through Employing IOTA Distributed Ledger Technology,"Leivadaros, Kornaros, Coppola",2021,10.1109/CCGrid51090.2021.00091
Blockchain-Enabled Service Optimizations in Supply Chain Digital Twin,"Gai, Zhang, Qiu, Thuraisingham",2023,10.1109/TSC.2022.3192166
Digital Twins: From Conceptual Views to Industrial Applications in the Electrical Domain,"Serugendo, Cutting-Decelle, Guise, Cormenier, Khan, Hossenlopp",2022,10.1109/MC.2022.3156847
Deep Learning-Empowered Clinical Big Data Analytics in Healthcare Digital Twins,"Lv, Guo, Lv",,10.1109/TCBB.2023.3252668
Immersive Virtual Reality for Virtual and Digital Twins: A Literature Review to Identify State Of The Art and Perspectives,"Pirker, Loria, Safikhani, Künz, Rosmann",2022,10.1109/VRW55335.2022.00035
Digital Twin Based Trajectory Prediction for Platoons of Connected Intelligent Vehicles,"Du, Leng, He, Zhou",2021,10.1109/ICNP52444.2021.9651970
Developing the Factory of the Future Cybersecurity and Resilience,"Kotelba, Salonen",2022,10.1109/CNCIT56797.2022.00018
Digital Twin Operational Platform for Connectivity and Accessibility using Flask Python,"Bonney, Angelis, Wagg, Borgo",2021,10.1109/MODELS-C53483.2021.00042
Using a Cyber Digital Twin for Continuous Automotive Security Requirements Verification,"Silva, Wagner, Lazebnik, Traitel",2023,10.1109/MS.2022.3171305
Visual Cybersecurity Collaboration and Incident Exchange in Multi-Stakeholder IoT Environments,"Zhao, Silverajan",2022,10.1109/iThings-GreenCom-CPSCom-SmartData-Cybermatics55523.2022.00051
A Deep Learning Approach to Protecting Cultural Heritage Buildings Through IoT-Based Systems,"Casillo, Colace, Gupta, Lorusso, Marongiu, Santaniello",2022,10.1109/SMARTCOMP55677.2022.00063
A Blockchain-Based Cross-Domain and Autonomous Access Control Scheme for Internet of Things,"Hao, Ren, Fei, Zhu, Choo",2023,10.1109/TSC.2022.3179727
SIRDAM4.0: A Support Infrastructure for Reliable Data Acquisition and Management in Industry 4.0,"Corradi, Modica, Foschini, Patera, Solimando",2022,10.1109/TETC.2021.3111974
Simulation and Digital Twin Support for Managed Drone Applications,"Grigoropoulos, Lalis",2020,10.1109/DS-RT50469.2020.9213676
Dynamic Probabilistic Model Checking for Sensor Validation in Industry 4.0 Applications,"Xin, Keoh, Sevegnani, Saerbeck",2020,10.1109/SmartIoT49966.2020.00016
Artificial Intelligence Enabled Middleware for Distributed Cyberattacks Detection in IoT-based Smart Environments,"Bhandari, Lyth, Shalaginov, Grønli",2022,10.1109/BigData55660.2022.10020531
"Metaverse in Education: Vision, Opportunities, and Challenges","Lin, Wan, Gan, Chen, Chao",2022,10.1109/BigData55660.2022.10021004
Towards Trustworthy Autonomous Systems: Taxonomies and Future Perspectives,"Flammini, Alcaraz, Bellini, Marrone, Lopez, Bondavalli",2024,10.1109/TETC.2022.3227113
Digital Twin Networks: Learning Dynamic Network Behaviors from Network Flows,"Lin, Gel, Wu, Li, Li",2022,10.1109/ISCC55528.2022.9912864
Stochastic Digital-Twin Service Demand With Edge Response: An Incentive-Based Congestion Control Approach,"Lin, Wu, Li, Yang, Guizani",2023,10.1109/TMC.2021.3122013
Security Automation for Cloud-Based IoT Platforms,"Merzouki, Mahmoudi, Bohn, Tunc",2019,10.1109/iThings/GreenCom/CPSCom/SmartData.2019.00199
Cyber Digital Twin Simulator for Automatic Gathering and Prioritization of Security Controls’ Requirements,"Hadar, Kravchenko, Basovskiy",2020,10.1109/RE48521.2020.00035
DRIVE: A Digital Network Oracle for Cooperative Intelligent Transportation Systems,"Mavromatis, Piechocki, Sooriyabandara, Parekh",2020,10.1109/ISCC50000.2020.9219683
The Scheme and System Architecture of Product Quality Inspection based on Software-Defined Edge Intelligent Controller (SD-EIC) in Industrial Internet of Things,"Hu, He, Zhu",2022,10.1109/SmartIoT55134.2022.00019
Gotham Testbed: A Reproducible IoT Testbed for Security Experiments and Dataset Generation,"Sáez-de-Cámara, Flores, Arellano, Urbieta, Zurutuza",2024,10.1109/TDSC.2023.3247166
Attacks Opportunities in the Cyber Physical Space and the Role of Cybersecurity,"Aggarwal, Tripathi, Chottani, Tiwana",2021,10.1109/ICCMST54943.2021.00064
Side-Channel Analysis-Based Model Extraction on Intelligent CPS: An Information Theory Perspective,"Pan, Wu, Lin, Li",2021,10.1109/iThings-GreenCom-CPSCom-SmartData-Cybermatics53846.2021.00050
Threat Modelling of IoT Systems Using Distributed Ledger Technologies and IOTA,"Damianou, Khan, Angelopoulos, Katos",2021,10.1109/DCOSS52077.2021.00070
Changing the Paradigm of Control System Cybersecurity,"Weiss, Stephens, Miller",2022,10.1109/MC.2021.3138231
ELITE: An Intelligent Digital Twin-Based Hierarchical Routing Scheme for Softwarized Vehicular Networks,"Zhao, Bi, Hawbani, Yu, Zhang, Guizani",2023,10.1109/TMC.2022.3179254
Reference Architectures and Standards for the Internet of Things and Big Data in Smart Manufacturing,Ünal,2019,10.1109/FiCloud.2019.00041
Convergent Access Control to Enable Secure Smart Communities,"Bhatt, Sandhu",2020,10.1109/TPS-ISA50397.2020.00029
Digital-twin based Power Supply System Modeling and Analysis for Urban Rail Transportation,"Guo, Wu, Liang, Hu, Liu",2020,10.1109/ICEI49372.2020.00022
(Do Not) Trust in Ecosystems,"Cioroaica, Kuhn, Buhnova",2019,10.1109/ICSE-NIER.2019.00011
Building a Hardware-in-the-Loop (HiL) Digital Energy Station Infrastructure for Cyber Operation Resiliency Testing,"Jϕrgensen, Waltoft-Olsen, Houmb, Toppe, Soltvedt, Muggerud",2022,10.1145/3524489.3527299
A Middleware for Digital Twin-Enabled Flying Network Simulations Using UBSim and UB-ANC,"Moorthy, Harindranath, McManus, Guan, Mastronarde, Bentley, Medley",2022,10.1109/DCOSS54816.2022.00059
SDCWorks: A Formal Framework for Software Defined Control of Smart Manufacturing Systems,"Potok, Chen, Mitra, Mohan",2018,10.1109/ICCPS.2018.00017
An Industrial Control System Physical Testbed for Naval Defense Cybersecurity Research,"Sicard, Hotellier, Francq",2022,10.1109/EuroSPW55150.2022.00049
Assessment of a Method for Detecting Process Anomalies Using Digital-Twinning,"Sugumar, Mathur",2019,10.1109/EDCC.2019.00031
Grand Challenge: Applying Artificial Intelligence and Machine Learning to Cybersecurity,"Bresniker, Gavrilovska, Holt, Milojicic, Tran",2019,10.1109/MC.2019.2942584
Cyber Resilience for the Internet of Things: Implementations With Resilience Engines and Attack Classifications,"Alvarenga, Brands, Doliwa, Hartog, Kraft, Medwed, Nikov, Renes, Rosso, Schneider, Veshchikov",2024,10.1109/TETC.2022.3231692
RIPOSTE: A Collaborative Cyber Attack Response Framework for Automotive Systems,"Jolak, Rosenstatter, Aldaghistani, Scandariato",2022,10.1109/SEAA56994.2022.00062
Enabling Cybersecurity Incident Reporting and Coordinated Handling for Maritime Sector,"Silverajan, Vistiaho",2019,10.1109/AsiaJCIS.2019.000-1
Intrusion Detection in Binary Process Data: Introducing the Hamming-distance to Matrix Profiles,"Anton, Schotten",2020,10.1109/WoWMoM49955.2020.00065
INSpIRA: INtegrating Security Into Risk Assessment,Dobaj,2018,
HCFL: A High Compression Approach for Communication-Efficient Federated Learning in Very Large Scale IoT Networks,"Nguyen, Lee, Pham, Hoang, Nguyen, Hwang",2023,10.1109/TMC.2022.3190510
Industrial IoT and Advanced Analytics Framework: An Approach for the Mining Industry,"Moura, Ceotto, Gonzalez",2017,10.1109/CSCI.2017.228
Keynotes,No authors,2022,10.1109/ICPS55917.2022.00007
Reflections on Visualization Research Projects in the Manufacturing Industry,"Cibulski, Schmidt, Aigner",2022,10.1109/MCG.2022.3156846
Modelling Virtual Sensors for Indoor Environments with Machine Learning,"Polanski, Angelopoulos",2022,10.1109/DCOSS54816.2022.00046
DAOs & ADSs,Wright,2023,10.1109/ISADS56919.2023.10091973
Technology Predictions,Milojicic,2019,10.1109/MC.2019.2944708
Metaverse Security and Privacy: An Overview,"Chen, Wu, Gan, Qi",2022,10.1109/BigData55660.2022.10021112
Standardization: A Key Factor of Industry 4.0,"Villagrán, Estevez, Pesado, Marquez",2019,10.1109/ICEDEG.2019.8734339
Current Perspectives on Securing Critical Infrastructures’ Supply Chains,"Roman, Alcaraz, Lopez, Sakurai",2023,10.1109/MSEC.2023.3247946
